,SKU ID,Min Pd,Product ID,Zenni B2B,USD Price,Cad Price,Frame Type,Material,Frame Rim,Frame Shape,Frame Gender,SKU Color,SKU Display Color,Frame Width,Adult Frame Size,Kids Frame Size,Weight,Lens Width,Product Display Name,Is for Kids,Rush Processing Available,SKU Status,Product Type,Joint Max,Joint Min,Max Sph,Min Sph,Max Cyl,Min Cyl,Max Pd,Min Pd,Pd Reader,Temple Length,Bridge,Lens Height,Readers Available,Progressive Available,Image URL,Feature List,Product List,Friendly Name
1269,2038129,46,20381,,19.95,26.95,standardframetype,Plastic,FullRim,Round,Unisex_Kids,Rainbow,Rainbow,114,,Med,13,46,Kids' Round Glasses,1,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,64,46,58,138,18,40,1,1,https://static.zennioptical.com/production/products/general/20/38/2038129-eyeglasses-front-view.jpg,"ft01,ft03","gt32,gt09,gt10,gt04,gt08",kids-tr-round-eyeglass-frames-2038129
1270,2038217,67,20382,,19.95,26.95,standardframetype,Plastic,FullRim,Square,Women_s,Purple,Bouquet,138,Large,,21,54,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,77,67,68,145,20,47,0,1,https://static.zennioptical.com/production/products/general/20/38/2038217-eyeglasses-front-view.jpg,"ft01,ft06","gt35,gt29,gt33",womens-tr-square-eyeglass-frames-2038217
1271,2038219,67,20382,,19.95,26.95,standardframetype,Plastic,FullRim,Square,Women_s,Pink,Rose,138,Large,,21,54,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,77,67,68,145,20,47,0,1,https://static.zennioptical.com/production/products/general/20/38/2038219-eyeglasses-front-view.jpg,"ft01,ft06","gt35,gt29,gt33",womens-tr-square-eyeglass-frames-2038219
1272,2038224,67,20382,,19.95,26.95,standardframetype,Plastic,FullRim,Square,Women_s,Green,Monstera,138,Large,,21,54,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,77,67,68,145,20,47,0,1,https://static.zennioptical.com/production/products/general/20/38/2038224-eyeglasses-front-view.jpg,"ft01,ft06","gt35,gt29,gt33",womens-tr-square-eyeglass-frames-2038224
1273,2038239,67,20382,,19.95,26.95,standardframetype,Plastic,FullRim,Square,Women_s,Pattern,Orchid,138,Large,,21,54,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,77,67,68,145,20,47,0,1,https://static.zennioptical.com/production/products/general/20/38/2038239-eyeglasses-front-view.jpg,"ft01,ft06","gt35,gt29,gt33",womens-tr-square-eyeglass-frames-2038239
1274,2038312,39,20383,,23.95,31.95,standardframetype,Plastic,FullRim,Round,Unisex_Kids,Gray,Gray,107,,Small,12,43,Kids' Flexible Round Glasses,1,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,60,39,54,137,17,37,1,1,https://static.zennioptical.com/production/products/general/20/38/2038312-eyeglasses-front-view.jpg,ft03,"gt32,gt09,gt10,gt04,gt37,gt08,gt41",kids-tr-round-eyeglass-frames-2038312
1275,2038316,39,20383,,23.95,31.95,standardframetype,Plastic,FullRim,Round,Unisex_Kids,Blue,Blue,107,,Small,12,43,Kids' Flexible Round Glasses,1,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,60,39,54,137,17,37,1,1,https://static.zennioptical.com/production/products/general/20/38/2038316-eyeglasses-front-view.jpg,ft03,"gt32,gt09,gt10,gt04,gt37,gt08,gt41",kids-tr-round-eyeglass-frames-2038316
1276,2038319,39,20383,,23.95,31.95,standardframetype,Plastic,FullRim,Round,Unisex_Kids,Pink,Pink,107,,Small,12,43,Kids' Flexible Round Glasses,1,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,60,39,54,137,17,37,1,1,https://static.zennioptical.com/production/products/general/20/38/2038319-eyeglasses-front-view.jpg,ft03,"gt32,gt09,gt10,gt04,gt37,gt08,gt41",kids-tr-round-eyeglass-frames-2038319
1277,2038412,35,20384,,23.95,31.95,standardframetype,Plastic,FullRim,Oval,Unisex_Kids,Gray,Gray,102,,Extra_Small,12,42,Kids' Flexible Oval Glasses,1,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,57,35,51,137,15,30,1,1,https://static.zennioptical.com/production/products/general/20/38/2038412-eyeglasses-front-view.jpg,ft03,"gt06,gt34,gt07,gt41,gt37,gt04,gt32,gt05",kids-tr-oval-eyeglass-frames-2038412
1278,2038421,35,20384,,23.95,31.95,standardframetype,Plastic,FullRim,Oval,Unisex_Kids,Black,Black,102,,Extra_Small,12,42,Kids' Flexible Oval Glasses,1,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,57,35,51,137,15,30,1,1,https://static.zennioptical.com/production/products/general/20/38/2038421-eyeglasses-front-view.jpg,ft03,"gt06,gt34,gt07,gt41,gt37,gt04,gt32,gt05",kids-tr-oval-eyeglass-frames-2038421
1282,2038616,58,20386,,39.95,53.95,standardframetype,Eco,FullRim,Round,Unisex,Multicolor,Oceana,128,Med,,13,51,Sargasso,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,58,65,148,20,47,1,1,https://static.zennioptical.com/production/products/general/20/38/2038616-eyeglasses-front-view.jpg,"ft01,ft03,ft06","gt35,gt34,gt25,gt33,gt32,gt50",remakes-sargasso-eyeglasses-2038616
1283,2038625,58,20386,,39.95,53.95,standardframetype,Eco,FullRim,Round,Unisex,Tortoiseshell,Tortoiseshell,128,Med,,13,51,Sargasso,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,58,65,148,20,47,1,1,https://static.zennioptical.com/production/products/general/20/38/2038625-eyeglasses-front-view.jpg,"ft01,ft03,ft06","gt35,gt34,gt25,gt33,gt32,gt50",remakes-sargasso-eyeglasses-2038625
1284,2038636,58,20386,,39.95,53.95,standardframetype,Eco,FullRim,Round,Unisex,Blue,Navy Blue,128,Med,,13,51,Sargasso,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,58,65,148,20,47,1,1,https://static.zennioptical.com/production/products/general/20/38/2038636-eyeglasses-front-view.jpg,"ft01,ft03,ft06","gt35,gt34,gt25,gt33,gt32,gt50",remakes-sargasso-eyeglasses-2038636
1285,2038725,61,20387,,39.95,53.95,standardframetype,Eco,FullRim,Rectangle,Unisex,Tortoiseshell,Tortoiseshell,131,Med,,15,53,Caspian,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,61,65,148,18,38,0,1,https://static.zennioptical.com/production/products/general/20/38/2038725-eyeglasses-front-view.jpg,"ft01,ft02,ft06","gt31,gt33,gt36,gt50",remakes-caspian-eyeglasses-2038725
1286,2038736,61,20387,,39.95,53.95,standardframetype,Eco,FullRim,Rectangle,Unisex,Blue,Navy Blue,131,Med,,15,53,Caspian,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,61,65,148,18,38,0,1,https://static.zennioptical.com/production/products/general/20/38/2038736-eyeglasses-front-view.jpg,"ft01,ft02,ft06","gt31,gt33,gt36,gt50",remakes-caspian-eyeglasses-2038736
1287,2038815,56,20388,,39.95,53.95,standardframetype,Eco,FullRim,Round,Unisex,Brown,Brown,124,Small,,14,50,Baltic,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,73,56,64,148,20,46,1,1,https://static.zennioptical.com/production/products/general/20/38/2038815-eyeglasses-front-view.jpg,"ft01,ft06","gt32,gt25,gt50,gt44",remakes-baltic-eyeglasses-2038815
1288,2038816,56,20388,,39.95,53.95,standardframetype,Eco,FullRim,Round,Unisex,Blue,Blue,124,Small,,14,50,Baltic,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,73,56,64,148,20,46,1,1,https://static.zennioptical.com/production/products/general/20/38/2038816-eyeglasses-front-view.jpg,"ft01,ft06","gt32,gt25,gt50,gt44",remakes-baltic-eyeglasses-2038816
1289,2038825,56,20388,,39.95,53.95,standardframetype,Eco,FullRim,Round,Unisex,Tortoiseshell,Tortoiseshell,124,Small,,14,50,Baltic,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,73,56,64,148,20,46,1,1,https://static.zennioptical.com/production/products/general/20/38/2038825-eyeglasses-front-view.jpg,"ft01,ft06","gt32,gt25,gt50,gt44",remakes-baltic-eyeglasses-2038825
1290,2038915,52,20389,,39.95,53.95,standardframetype,Eco,FullRim,Rectangle,Unisex,Brown,Brown,118,Extra_Small,,11,50,Flores,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,52,61,143,17,32,1,1,https://static.zennioptical.com/production/products/general/20/38/2038915-eyeglasses-front-view.jpg,"ft01,ft03,ft06","gt36,gt53,gt33,gt50,gt31",remakes-flores-eyeglasses-2038915
1291,2038925,52,20389,,39.95,53.95,standardframetype,Eco,FullRim,Rectangle,Unisex,Tortoiseshell,Tortoiseshell,118,Extra_Small,,11,50,Flores,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,52,61,143,17,32,1,1,https://static.zennioptical.com/production/products/general/20/38/2038925-eyeglasses-front-view.jpg,"ft01,ft03,ft06","gt36,gt53,gt33,gt50,gt31",remakes-flores-eyeglasses-2038925
1292,2039015,45,20390,,35.95,47.95,standardframetype,Eco,FullRim,Square,Unisex_Kids,Brown,Brown,112,,Small,14,46,Andaman Kid's,1,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,63,45,57,138,17,37,1,1,https://static.zennioptical.com/production/products/general/20/39/2039015-eyeglasses-front-view.jpg,ft01,"gt35,gt10,gt33,gt53,gt41,gt09,gt04,gt08,gt50,gt25",kids-remakes-andaman kid's-eyeglasses-2039015
1293,2039016,45,20390,,35.95,47.95,standardframetype,Eco,FullRim,Square,Unisex_Kids,Blue,Oceana,112,,Small,14,46,Andaman Kid's,1,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,63,45,57,138,17,37,1,1,https://static.zennioptical.com/production/products/general/20/39/2039016-eyeglasses-front-view.jpg,ft01,"gt35,gt10,gt33,gt53,gt41,gt09,gt04,gt08,gt50,gt25",kids-remakes-andaman kid's-eyeglasses-2039016
1294,2039021,45,20390,,35.95,47.95,standardframetype,Eco,FullRim,Square,Unisex_Kids,Black,Black,112,,Small,14,46,Andaman Kid's,1,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,63,45,57,138,17,37,1,1,https://static.zennioptical.com/production/products/general/20/39/2039021-eyeglasses-front-view.jpg,ft01,"gt35,gt10,gt33,gt53,gt41,gt09,gt04,gt08,gt50,gt25",kids-remakes-andaman kid's-eyeglasses-2039021
1295,2039115,65,20391,,39.95,53.95,standardframetype,Eco,FullRim,Square,Unisex,Brown,Brown,131,Med,,14,54,Andaman,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,76,65,67,148,19,43,0,1,https://static.zennioptical.com/production/products/general/20/39/2039115-eyeglasses-front-view.jpg,"ft01,ft06","gt38,gt25,gt50,gt35,gt33",remakes-andaman-eyeglasses-2039115
1296,2039116,65,20391,,39.95,53.95,standardframetype,Eco,FullRim,Square,Unisex,Blue,Oceana,131,Med,,14,54,Andaman,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,76,65,67,148,19,43,0,1,https://static.zennioptical.com/production/products/general/20/39/2039116-eyeglasses-front-view.jpg,"ft01,ft06","gt38,gt25,gt50,gt35,gt33",remakes-andaman-eyeglasses-2039116
1297,2039121,65,20391,,39.95,53.95,standardframetype,Eco,FullRim,Square,Unisex,Black,Black,131,Med,,14,54,Andaman,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,76,65,67,148,19,43,0,1,https://static.zennioptical.com/production/products/general/20/39/2039121-eyeglasses-front-view.jpg,"ft01,ft06","gt38,gt25,gt50,gt35,gt33",remakes-andaman-eyeglasses-2039121
1298,2039216,50,20392,,35.95,47.95,standardframetype,Eco,FullRim,Browline,Unisex_Kids,Blue,Blue,120,,Large,13,47,Bering Kid's,1,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,67,50,61,143,20,40,1,1,https://static.zennioptical.com/production/products/general/20/39/2039216-eyeglasses-front-view.jpg,"ft01,ft03","gt13,gt50,gt33,gt35,gt25,gt41,gt12,gt04,gt11",kids-bering-kid's-eyeglasses-2039216
1299,2039221,50,20392,,35.95,47.95,standardframetype,Eco,FullRim,Browline,Unisex_Kids,Black,Black,120,,Large,13,47,Bering Kid's,1,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,67,50,61,143,20,40,1,1,https://static.zennioptical.com/production/products/general/20/39/2039221-eyeglasses-front-view.jpg,"ft01,ft03","gt13,gt50,gt33,gt35,gt25,gt41,gt12,gt04,gt11",kids-bering-kid's-eyeglasses-2039221
1300,2039316,62,20393,,39.95,53.95,standardframetype,Eco,FullRim,Browline,Unisex,Blue,Blue,132,Med,,14,52,Bering,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,75,62,66,148,20,45,0,1,https://static.zennioptical.com/production/products/general/20/39/2039316-eyeglasses-front-view.jpg,"ft01,ft06","gt53,gt35,gt50,gt33,gt38,gt25",remakes-bering-eyeglasses-2039316
1301,2039321,62,20393,,39.95,53.95,standardframetype,Eco,FullRim,Browline,Unisex,Black,Black,132,Med,,14,52,Bering,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,75,62,66,148,20,45,0,1,https://static.zennioptical.com/production/products/general/20/39/2039321-eyeglasses-front-view.jpg,"ft01,ft06","gt53,gt35,gt50,gt33,gt38,gt25",remakes-bering-eyeglasses-2039321
1302,2039325,62,20393,,39.95,53.95,standardframetype,Eco,FullRim,Browline,Unisex,Tortoiseshell,Tortoiseshell,132,Med,,14,52,Bering,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,75,62,66,148,20,45,0,1,https://static.zennioptical.com/production/products/general/20/39/2039325-eyeglasses-front-view.jpg,"ft01,ft06","gt53,gt35,gt50,gt33,gt38,gt25",remakes-bering-eyeglasses-2039325
1303,2039412,66,20394,,29.95,39.95,standardframetype,Plastic,FullRim,Rectangle,Unisex,Gray,Gray,136,Large,,16,56,Rectangle Glasses,0,0,non-retired,configurable prescription frame,2,-4,2,-4,2,-2,78,66,69,140,19,37,0,1,https://static.zennioptical.com/production/products/general/20/39/2039412-eyeglasses-front-view.jpg,ft06,"gt02,gt33,gt36,gt31,gt53",tr-rectangle-eyeglass-frames-2039412
1304,2039421,66,20394,,29.95,39.95,standardframetype,Plastic,FullRim,Rectangle,Unisex,Black,Black,136,Large,,16,56,Rectangle Glasses,0,0,non-retired,configurable prescription frame,2,-4,2,-4,2,-2,78,66,69,140,19,37,0,1,https://static.zennioptical.com/production/products/general/20/39/2039421-eyeglasses-front-view.jpg,ft06,"gt02,gt33,gt36,gt31,gt53",tr-rectangle-eyeglass-frames-2039421
1305,2039519,66,20395,,32.95,43.95,standardframetype,Plastic,FullRim,Square,Women_s,Pink,Pink,131,Med,,20,56,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,76,66,67,144,17,47,0,1,https://static.zennioptical.com/production/products/general/20/39/2039519-eyeglasses-front-view.jpg,"ft01,ft06","gt33,gt31,gt35,gt52",womens-tr-square-eyeglass-frames-2039519
1306,2039521,66,20395,,32.95,43.95,standardframetype,Plastic,FullRim,Square,Women_s,Black,Black,131,Med,,20,56,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,76,66,67,144,17,47,0,1,https://static.zennioptical.com/production/products/general/20/39/2039521-eyeglasses-front-view.jpg,"ft01,ft06","gt33,gt31,gt35,gt52",womens-tr-square-eyeglass-frames-2039521
1307,2039523,66,20395,,32.95,43.95,standardframetype,Plastic,FullRim,Square,Women_s,Clear,Translucent,131,Med,,20,56,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,76,66,67,144,17,47,0,1,https://static.zennioptical.com/production/products/general/20/39/2039523-eyeglasses-front-view.jpg,"ft01,ft06","gt33,gt31,gt35,gt52",womens-tr-square-eyeglass-frames-2039523
1308,2039524,66,20395,,32.95,43.95,standardframetype,Plastic,FullRim,Square,Women_s,Green,Green,131,Med,,20,56,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,76,66,67,144,17,47,0,1,https://static.zennioptical.com/production/products/general/20/39/2039524-eyeglasses-front-view.jpg,"ft01,ft06","gt33,gt31,gt35,gt52",womens-tr-square-eyeglass-frames-2039524
1309,2039717,58,20397,,35.95,47.95,standardframetype,Plastic,FullRim,Oval,Unisex,Purple,Purple,132,Med,,17,52,Oval Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,72,58,63,145,17,42,1,1,https://static.zennioptical.com/production/products/general/20/39/2039717-eyeglasses-front-view.jpg,"ft01,ft06","gt02,gt34,gt37,gt32",tr-oval-eyeglass-frames-2039717
1310,2039721,58,20397,,35.95,47.95,standardframetype,Plastic,FullRim,Oval,Unisex,Black,Black/Red,132,Med,,17,52,Oval Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,72,58,63,145,17,42,1,1,https://static.zennioptical.com/production/products/general/20/39/2039721-eyeglasses-front-view.jpg,"ft01,ft06","gt02,gt34,gt37,gt32",tr-oval-eyeglass-frames-2039721
1311,2039725,58,20397,,35.95,47.95,standardframetype,Plastic,FullRim,Oval,Unisex,Tortoiseshell,Tortoiseshell,132,Med,,17,52,Oval Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,72,58,63,145,17,42,1,1,https://static.zennioptical.com/production/products/general/20/39/2039725-eyeglasses-front-view.jpg,"ft01,ft06","gt02,gt34,gt37,gt32",tr-oval-eyeglass-frames-2039725
1312,2039812,63,20398,,35.95,47.95,standardframetype,Plastic,FullRim,Rectangle,Men_s,Gray,Gray,135,Large,,18,54,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,75,63,66,145,18,34,0,1,https://static.zennioptical.com/production/products/general/20/39/2039812-eyeglasses-front-view.jpg,ft06,"gt02,gt36,gt33,gt37,gt31",mens-tr-rectangle-eyeglass-frames-2039812
1313,2039815,63,20398,,35.95,47.95,standardframetype,Plastic,FullRim,Rectangle,Men_s,Brown,Brown,135,Large,,18,54,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,75,63,66,145,18,34,0,1,https://static.zennioptical.com/production/products/general/20/39/2039815-eyeglasses-front-view.jpg,ft06,"gt02,gt36,gt33,gt37,gt31",mens-tr-rectangle-eyeglass-frames-2039815
1314,2039821,63,20398,,35.95,47.95,standardframetype,Plastic,FullRim,Rectangle,Men_s,Black,Black,135,Large,,18,54,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,75,63,66,145,18,34,0,1,https://static.zennioptical.com/production/products/general/20/39/2039821-eyeglasses-front-view.jpg,ft06,"gt02,gt36,gt33,gt37,gt31",mens-tr-rectangle-eyeglass-frames-2039821
1315,2039912,64,20399,,35.95,47.95,standardframetype,Plastic,FullRim,Rectangle,Unisex,Gray,Gray,137,Large,,17,54,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,75,64,66,145,18,38,0,1,https://static.zennioptical.com/production/products/general/20/39/2039912-eyeglasses-front-view.jpg,"ft01,ft06","gt02,gt33,gt36,gt44,gt31",tr-rectangle-eyeglass-frames-2039912
1316,2039921,64,20399,,35.95,47.95,standardframetype,Plastic,FullRim,Rectangle,Unisex,Black,Black,137,Large,,17,54,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,75,64,66,145,18,38,0,1,https://static.zennioptical.com/production/products/general/20/39/2039921-eyeglasses-front-view.jpg,"ft01,ft06","gt02,gt33,gt36,gt44,gt31",tr-rectangle-eyeglass-frames-2039921
1317,2039925,64,20399,,35.95,47.95,standardframetype,Plastic,FullRim,Rectangle,Unisex,Tortoiseshell,Tortoiseshell,137,Large,,17,54,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,75,64,66,145,18,38,0,1,https://static.zennioptical.com/production/products/general/20/39/2039925-eyeglasses-front-view.jpg,"ft01,ft06","gt02,gt33,gt36,gt44,gt31",tr-rectangle-eyeglass-frames-2039925
1318,2040012,63,20400,,35.95,47.95,standardframetype,Plastic,FullRim,Rectangle,Unisex,Gray,Gray,136,Large,,17,54,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,63,65,145,17,35,0,1,https://static.zennioptical.com/production/products/general/20/40/2040012-eyeglasses-front-view.jpg,"ft01,ft06","gt31,gt36,gt33,gt37,gt02",tr-rectangle-eyeglass-frames-2040012
1319,2040016,63,20400,,35.95,47.95,standardframetype,Plastic,FullRim,Rectangle,Unisex,Blue,Blue,136,Large,,17,54,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,63,65,145,17,35,0,1,https://static.zennioptical.com/production/products/general/20/40/2040016-eyeglasses-front-view.jpg,"ft01,ft06","gt31,gt36,gt33,gt37,gt02",tr-rectangle-eyeglass-frames-2040016
1320,2040017,63,20400,,35.95,47.95,standardframetype,Plastic,FullRim,Rectangle,Unisex,Purple,Purple,136,Large,,17,54,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,63,65,145,17,35,0,1,https://static.zennioptical.com/production/products/general/20/40/2040017-eyeglasses-front-view.jpg,"ft01,ft06","gt31,gt36,gt33,gt37,gt02",tr-rectangle-eyeglass-frames-2040017
1321,2040112,59,20401,,19.95,26.95,standardframetype,Plastic,FullRim,Square,Unisex,Gray,Grey,127,Med,,13,52,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,59,65,145,20,40,1,1,https://static.zennioptical.com/production/products/general/20/40/2040112-eyeglasses-front-view.jpg,"ft02,ft03,ft06","gt31,gt35,gt33",tr-square-eyeglass-frames-2040112
1322,2040116,59,20401,,19.95,26.95,standardframetype,Plastic,FullRim,Square,Unisex,Blue,Blue,127,Med,,13,52,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,59,65,145,20,40,1,1,https://static.zennioptical.com/production/products/general/20/40/2040116-eyeglasses-front-view.jpg,"ft02,ft03,ft06","gt31,gt35,gt33",tr-square-eyeglass-frames-2040116
1323,2040123,59,20401,,19.95,26.95,standardframetype,Plastic,FullRim,Square,Unisex,Clear,Translucent,127,Med,,13,52,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,59,65,145,20,40,1,1,https://static.zennioptical.com/production/products/general/20/40/2040123-eyeglasses-front-view.jpg,"ft02,ft03,ft06","gt31,gt35,gt33",tr-square-eyeglass-frames-2040123
1324,2040216,67,20402,,19.95,26.95,standardframetype,Plastic,FullRim,Rectangle,Men_s,Blue,Blue,135,Large,,10,57,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,77,67,68,148,17,36,0,1,https://static.zennioptical.com/production/products/general/20/40/2040216-eyeglasses-front-view.jpg,"ft01,ft02,ft03,ft06","gt31,gt33,gt44,gt53,gt36",mens-tr-rectangle-eyeglass-frames-2040216
,2040221,67,20402,Yes,19.95,26.95,standardframetype,Plastic,FullRim,Rectangle,Men_s,Black,Black,135,Large,,10,57,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,77,67,68,148,17,36,0,1,https://static.zennioptical.com/production/products/general/20/40/2040221-eyeglasses-front-view.jpg,"ft01,ft02,ft03,ft06","gt31,gt33,gt44,gt53,gt36",mens-tr-rectangle-eyeglass-frames-2040221
1326,2040223,67,20402,,19.95,26.95,standardframetype,Plastic,FullRim,Rectangle,Men_s,Clear,Translucent,135,Large,,10,57,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,77,67,68,148,17,36,0,1,https://static.zennioptical.com/production/products/general/20/40/2040223-eyeglasses-front-view.jpg,"ft01,ft02,ft03,ft06","gt31,gt33,gt44,gt53,gt36",mens-tr-rectangle-eyeglass-frames-2040223
1327,2040312,60,20403,,27.95,36.95,standardframetype,Plastic,FullRim,Rectangle,Men_s,Gray,Gray,133,Large,,12,52,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,60,65,136,19,37,1,1,https://static.zennioptical.com/production/products/general/20/40/2040312-eyeglasses-front-view.jpg,"ft03,ft06","gt34,gt31,gt02,gt44,gt36,gt33",mens-plastic-rectangle-eyeglass-frames-2040312
1328,2040321,60,20403,,27.95,36.95,standardframetype,Plastic,FullRim,Rectangle,Men_s,Black,Black,133,Large,,12,52,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,60,65,136,19,37,1,1,https://static.zennioptical.com/production/products/general/20/40/2040321-eyeglasses-front-view.jpg,"ft03,ft06","gt34,gt31,gt02,gt44,gt36,gt33",mens-tr-rectangle-eyeglass-frames-2040321
1329,2040330,60,20403,,27.95,36.95,standardframetype,Plastic,FullRim,Rectangle,Men_s,White,White,133,Large,,12,52,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,60,65,136,19,37,1,1,https://static.zennioptical.com/production/products/general/20/40/2040330-eyeglasses-front-view.jpg,"ft03,ft06","gt34,gt31,gt02,gt44,gt36,gt33",mens-plastic-rectangle-eyeglass-frames-2040330
1330,2040416,57,20404,,19.95,26.95,standardframetype,Plastic,FullRim,Rectangle,Unisex,Blue,Midnight Blue,129,Med,,20,50,Monterey,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,75,57,64,145,22,36,1,1,https://static.zennioptical.com/production/products/general/20/40/2040416-eyeglasses-front-view.jpg,ft06,"gt36,gt33,gt31",tr-rectangle-eyeglass-frames-2040416
1331,2040423,57,20404,,19.95,26.95,standardframetype,Plastic,FullRim,Rectangle,Unisex,Clear,Clear,129,Med,,20,50,Monterey,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,75,57,64,145,22,36,1,1,https://static.zennioptical.com/production/products/general/20/40/2040423-eyeglasses-front-view.jpg,ft06,"gt36,gt33,gt31",tr-rectangle-eyeglass-frames-2040423
1332,2040516,35,20405,,23.95,31.95,standardframetype,Plastic,FullRim,Square,Unisex_Kids,Blue,Blue,104,,Extra_Small,11,36,Kids' Square Glasses,1,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,51,35,45,105,15,31,0,1,https://static.zennioptical.com/production/products/general/20/40/2040516-eyeglasses-front-view.jpg,ft03,"gt04,gt05,gt34,gt07,gt31,gt33,gt36,gt06",kids-tr-square-eyeglass-frames-2040516
1333,2040519,35,20405,,23.95,31.95,standardframetype,Plastic,FullRim,Square,Unisex_Kids,Pink,Pink,104,,Extra_Small,11,36,Kids' Square Glasses,1,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,51,35,45,105,15,31,0,1,https://static.zennioptical.com/production/products/general/20/40/2040519-eyeglasses-front-view.jpg,ft03,"gt04,gt05,gt34,gt07,gt31,gt33,gt36,gt06",kids-tr-square-eyeglass-frames-2040519
1334,2040524,35,20405,,23.95,31.95,standardframetype,Plastic,FullRim,Square,Unisex_Kids,Green,Blue,104,,Extra_Small,11,36,Kids' Square Glasses,1,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,51,35,45,105,15,31,0,1,https://static.zennioptical.com/production/products/general/20/40/2040524-eyeglasses-front-view.jpg,ft03,"gt04,gt05,gt34,gt07,gt31,gt33,gt36,gt06",kids-tr-square-eyeglass-frames-2040524
